date,station,AWND,AWNDattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TAVG,TAVGattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WDF5,WDF5attr,WSF2,WSF2attr,WSF5,WSF5attr,WT01,WT01attr,WT08,WT08attr,WT02,WT02attr,WT03,WT03attr
2017-07-17,GHCND:USW00014764,28,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",209,"H,,S,",256,",,W,2400",167,",,W,2400",90,",,W,",150,",,W,",63,",,W,",89,",,W,",1,",,W,",,,,,,
2017-07-18,GHCND:USW00014764,23,",,W,",145,",,W,2400",0,",,W,",0,",,W,2400",210,"H,,S,",256,",,W,2400",189,",,W,2400",80,",,W,",90,",,W,",58,",,W,",85,",,W,",1,",,W,",1,",,W,",,,1,",,W,"
2017-07-19,GHCND:USW00014764,22,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",224,"H,,S,",267,",,W,2400",194,",,W,2400",190,",,W,",180,",,W,",63,",,W,",89,",,W,",1,",,W,",1,",,W,",,,,
2017-07-20,GHCND:USW00014764,22,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",239,"H,,S,",311,",,W,2400",189,",,W,2400",190,",,W,",200,",,W,",76,",,W,",98,",,W,",1,",,W,",,,,,,
2017-07-21,GHCND:USW00014764,33,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",248,"H,,S,",306,",,W,2400",183,",,W,2400",260,",,W,",170,",,W,",72,",,W,",112,",,W,",,,,,,,,
2017-07-22,GHCND:USW00014764,21,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",249,"H,,S,",300,",,W,2400",189,",,W,2400",260,",,W,",260,",,W,",63,",,W,",81,",,W,",,,,,,,,
2017-07-23,GHCND:USW00014764,34,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",207,"H,,S,",222,",,W,2400",150,",,W,2400",40,",,W,",170,",,W,",63,",,W,",85,",,W,",,,,,,,,
2017-07-24,GHCND:USW00014764,33,",,W,",61,",,W,2400",0,",,W,",0,",,W,2400",162,"H,,S,",189,",,W,2400",128,",,W,2400",90,",,W,",70,",,W,",81,",,W,",125,",,W,",1,",,W,",,,,,,
2017-07-25,GHCND:USW00014764,29,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",162,"H,,S,",228,",,W,2400",128,",,W,2400",360,",,W,",10,",,W,",67,",,W,",94,",,W,",,,,,,,,
2017-07-26,GHCND:USW00014764,28,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",193,"H,,S,",267,",,W,2400",133,",,W,2400",160,",,W,",150,",,W,",63,",,W,",76,",,W,",,,,,,,,
2017-07-27,GHCND:USW00014764,31,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",193,"H,,S,",239,",,W,2400",167,",,W,2400",240,",,W,",260,",,W,",72,",,W,",89,",,W,",,,,,,,,
2017-07-28,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",215,"H,,S,",289,",,W,2400",156,",,W,2400",190,",,W,",180,",,W,",67,",,W,",85,",,W,",1,",,W,",,,,,,
2017-07-29,GHCND:USW00014764,33,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",192,"H,,S,",239,",,W,2400",111,",,W,2400",100,",,W,",100,",,W,",67,",,W,",98,",,W,",,,,,,,,
2017-07-30,GHCND:USW00014764,27,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",186,"H,,S,",267,",,W,2400",100,",,W,2400",350,",,W,",340,",,W,",63,",,W,",85,",,W,",,,,,,,,
2017-07-31,GHCND:USW00014764,27,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",205,"H,,S,",272,",,W,2400",111,",,W,2400",190,",,W,",180,",,W,",76,",,W,",107,",,W,",,,,,1,",,W,",1,",,W,"
2017-08-01,GHCND:USW00014764,26,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",230,"H,,S,",300,",,W,2400",172,",,W,2400",190,",,W,",180,",,W,",81,",,W,",107,",,W,",,,,,,
2017-08-02,GHCND:USW00014764,25,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",218,"H,,S,",289,",,W,2400",156,",,W,2400",90,",,W,",180,",,W,",72,",,W,",89,",,W,",1,",,W,",,,,
2017-08-03,GHCND:USW00014764,33,",,W,",0,"T,,W,2400",0,",,W,",0,",,W,2400",222,"H,,S,",267,",,W,2400",183,",,W,2400",180,",,W,",170,",,W,",76,",,W,",103,",,W,",1,",,W,",,,,
2017-08-04,GHCND:USW00014764,38,",,W,",0,",,W,2400",0,",,W,",0,",,W,2400",212,"H,,S,",250,",,W,2400",172,",,W,2400",160,",,W,",160,",,W,",94,",,W,",116,",,W,",,,,,,
